phrase,language,canonical_symptom,confidence,notes
my body is hot,en,fever,0.98,common Nigerian English
body hot,en,fever,0.98,common Nigerian English
i have fever,en,fever,0.99,
i feel hot,en,fever,0.90,
high temperature,en,fever,0.95,
temperature,en,fever,0.85,
ara mi n gbona,yo,fever,0.99,Yoruba fever/body hot phrase
ara mi ngbona,yo,fever,0.96,spelling variant
mo ni iba,yo,fever,0.99,
iba n se mi,yo,fever,0.96,ascii variant
iba ń ṣe mí,yo,fever,0.99,
iba,yo,fever,0.85,
jikina yana zafi,ha,fever,0.99,Hausa body hot phrase
ina da zazzabi,ha,fever,0.99,
zazzabi nake ji,ha,fever,0.98,
zazzabi,ha,fever,0.85,
